Iteration	Replicate_ID	Posterior	Likelihood	Prior	sigma2
126	0	53.43502	50.20298	3.232047	0.005714822
127	1	52.10786	48.78255	3.325305	0.005205967
128	0	53.617	50.41312	3.203878	0.005878094
129	1	53.65921	50.5246	3.134617	0.006299644
130	0	53.70783	50.54979	3.158033	0.006153848
131	1	53.2882	50.21009	3.078112	0.00666586
132	0	53.53007	50.42181	3.108263	0.006467876
133	1	53.32387	50.24199	3.081884	0.006640759
134	0	52.82026	49.53516	3.2851	0.005419538
135	1	53.65853	50.46473	3.193793	0.005937674
136	0	53.70457	50.53063	3.173944	0.00605671
137	1	53.52402	50.4167	3.10732	0.006473973
138	0	53.62162	50.41873	3.202889	0.005883908
139	1	53.70018	50.54897	3.15121	0.006195977
140	0	53.69062	50.54466	3.145956	0.006228615
141	1	53.59644	50.47659	3.119852	0.006393354
142	0	53.69062	50.54466	3.145956	0.006228615
143	1	53.64161	50.44334	3.19827	0.00591115
144	0	53.70747	50.54991	3.157558	0.006156771
145	1	53.7062	50.55011	3.156094	0.006165792
146	0	53.68058	50.53887	3.14171	0.006255119
147	1	53.67861	50.53764	3.140965	0.006259782
148	0	52.85422	49.81341	3.040809	0.006919211
149	1	53.70173	50.52556	3.176175	0.006043208
150	0	53.12318	49.86041	3.26277	0.005541916
151	1	52.23054	48.91136	3.319179	0.005237958
152	0	53.69295	50.54586	3.147088	0.006221569
153	1	53.49806	50.2742	3.223857	0.005761823
154	0	53.6577	50.52352	3.134178	0.006302414
155	1	52.36257	49.35403	3.008543	0.007146105
156	0	53.61346	50.49012	3.123333	0.006371132
157	1	53.05714	49.78907	3.268072	0.005512613
158	0	52.36176	49.04943	3.312323	0.005273993
159	1	52.93405	49.88723	3.046822	0.006877732
160	0	53.7092	50.54107	3.168135	0.006091995
161	1	53.4304	50.3361	3.094302	0.006558807
162	0	53.27393	50.19728	3.076645	0.00667564
163	1	52.83474	49.79536	3.039382	0.006929088
164	0	53.51193	50.29004	3.221893	0.005773151
165	1	53.58096	50.46406	3.1169	0.006412254
166	0	53.39846	50.30809	3.090368	0.006584662
167	1	53.19602	50.127	3.069023	0.006726717
168	0	50.25011	47.33933	2.910785	0.007879984
169	1	53.42262	50.18908	3.233542	0.005706287
170	0	52.99963	49.94764	3.051988	0.006842292
171	1	52.87148	49.58984	3.281639	0.005438326
172	0	53.40486	50.16924	3.235625	0.005694413
173	1	53.15209	50.08712	3.064971	0.006754028
174	0	53.04487	49.98918	3.055687	0.006817028
175	1	53.70749	50.53658	3.170908	0.006075124
176	0	53.6035	50.39686	3.206636	0.005861907
177	1	52.21914	48.89938	3.319759	0.005234919
178	0	53.40375	50.16799	3.235754	0.005693681
179	1	53.02099	49.75013	3.270857	0.00549728
180	0	53.12429	49.86162	3.262678	0.005542427
181	1	52.9441	49.66756	3.276538	0.005466137
182	0	53.62765	50.50117	3.126478	0.006351129
