Iteration	Posterior	Likelihood	Prior	sigma2
0	53.56837	50.45374	3.114626	0.006426851
10	53.44879	50.35212	3.096667	0.006543315
20	53.56903	50.45429	3.114743	0.006426097
30	53.56518	50.45111	3.114066	0.006430449
40	53.12887	50.06598	3.062892	0.006768086
50	53.61976	50.41647	3.20329	0.005881552
60	53.62612	50.49999	3.126126	0.006353365
70	53.47349	50.24631	3.227181	0.005742702
80	52.95016	49.90209	3.048071	0.006869146
90	53.01754	49.74643	3.271118	0.005495845
100	53.70896	50.5491	3.159859	0.006142623
110	53.70896	50.5491	3.159859	0.006142623
120	53.09683	50.03674	3.060088	0.006787092
130	53.0716	49.80467	3.266935	0.005518882
140	53.47524	50.37502	3.100216	0.006520131
150	53.14769	49.88696	3.260725	0.005553264
160	53.20261	49.94664	3.255967	0.005579748
170	53.2129	50.14227	3.070624	0.00671596
180	52.804	49.51782	3.286177	0.005413706
190	53.63819	50.5092	3.128991	0.006335191
200	53.66618	50.52945	3.136731	0.006286346
210	52.14125	48.81759	3.323663	0.005214525
220	53.28407	50.20638	3.077684	0.00666871
230	53.70973	50.54304	3.166697	0.006100761
240	53.23541	49.98241	3.252998	0.005596339
250	53.24261	50.16911	3.073508	0.006696617
260	53.60117	50.39408	3.207093	0.005859228
270	53.68922	50.54391	3.145308	0.006232657
280	53.70079	50.52397	3.176827	0.006039271
290	53.15341	50.08832	3.065091	0.006753219
300	53.65782	50.46383	3.193992	0.00593649
310	50.68991	47.30673	3.383179	0.004913229
320	53.60324	50.48203	3.121209	0.006384681
330	50.76231	47.83125	2.931054	0.007721866
340	52.95326	49.90494	3.048312	0.006867487
350	53.65755	50.52342	3.134135	0.006302681
360	53.46836	50.24051	3.227851	0.005738852
370	53.43953	50.20804	3.231496	0.005717974
380	53.53116	50.31211	3.21905	0.005789582
390	53.60388	50.48254	3.121339	0.00638385
400	53.49641	50.27233	3.224085	0.005760506
410	52.56477	49.26379	3.300985	0.005334129
420	53.4687	50.36938	3.099322	0.006525965
430	53.24856	50.17446	3.074096	0.006692684
440	52.72948	49.43849	3.290987	0.005387724
450	53.26972	50.1935	3.076217	0.006678501
460	53.10546	50.04462	3.060836	0.006782015
470	53.64085	50.5112	3.129653	0.006330996
480	52.47156	49.16525	3.306311	0.005305794
